,importance
rad_diffuse,0.3925226228282269
humidity,0.1454543526572675
pressure,0.098730714271365
dewpoint,0.05115977539637056
wind_dir,0.04128210696252217
rad_global,0.035842544410346976
wind_speed,0.031756763826578736
temp_min,0.03032988978310334
wind_speed_max,0.03032050614459095
soiltemp,0.029007396263711464
rad_long,0.026461064074090993
temp_max,0.02062430042743226
temp,0.019404196993997046
wind_gust,0.015985693097877295
wind_speed_min,0.010010396031200257
precip_dur,0.009507787612043442
sunshine,0.005381431749410763
precip_ind,0.004289243293022855
precip,0.001929214176841542
