garage,mae,mse,r2,n_outliers,outlier_threshold
Alsterhaus,3.057255712512776,38.52687192783872,0.9538069665638091,66,13.864520717517657
Alter Wall / BUCERIUS-Passage,2.5759629283331646,32.56552157399074,0.930251300019367,71,12.763599458731903
Am Hauptbahnhof,1.2644912833990363,9.129762124304278,0.9244638030645134,62,6.75476455548403
Bahnhof Altona,0.0,0.0,1.0,0,0.0
City-Parkhaus,1.3858253942181338,10.191720516795336,0.9581565529897782,47,7.139657682505511
Deichtorhallen,2.645100744634253,44.94468097897503,0.9129394328299673,42,14.969559756860086
Deutsch Japanisches Zentrum,2.9271972614218513,42.465629785331146,0.9534127016980543,57,14.575275569895886
Elbarkaden,2.747406373193167,37.05549547881077,0.9263459255748872,46,13.615093082546027
Elbphilharmonie,2.3393938896189224,22.076859505037234,0.9431449566230162,75,10.491697195922889
Europa-Passage,2.568789228073722,31.28939898302391,0.9565148592012522,72,12.5100072822818
Große Reichenstraße,0.022634691195795004,0.5108793938896189,0.7732057486969284,3,1.4519038914448426
Gänsemarkt,1.3866327201051247,11.47141315908344,0.9672522080220207,54,7.568846156559244
Hafentor,1.185551905387648,20.732212549277264,0.9824199021764093,38,9.980865609827015
Hanse-Viertel,1.3447502279492614,16.07322139975475,0.883897956236622,31,8.901005076952806
Holzdamm / Ibis,1.9568747262374069,44.02815325709046,0.38271731661415476,38,14.641546381530741
Kaufhof (Galeria Kaufhof),0.8572121775833398,7.457446530410704,0.9290130680190964,23,6.044525042874049
Kunsthalle,0.0,0.0,1.0,0,0.0
Madison,0.0,0.0,1.0,0,0.0
Marriott,2.069411784100828,16.55077506593926,0.9621869107940653,76,9.076943698763284
Mercado (Einkaufszentrum),1.865381077529566,15.099479697766098,0.9593175337658147,69,8.68519712618333
Messe-Mitte,1.1852825229960577,21.07288042049934,0.7516802506998839,33,10.057918369978031
Messe-Ost,0.5351703255010756,4.032298781438112,0.8246269268442504,27,4.407303735493654
Michel-Garage,0.6569438239159001,2.1445588684661994,0.9518537563656712,55,3.2754242249861383
Millerntor,0.9755614388378064,7.590483620428671,0.9748041210740154,34,6.130414777395545
Parkhaus Stadthöfe (Bleichenhof),0.8375678931230836,4.3015305434735,0.9270895646661733,37,4.633553898753856
Radison Blu,0.9467279894875165,4.266017082785808,0.964575006460265,68,4.619295844446384
Reeperbahn-Garagen (Spielbudenplatz),2.9122284275076655,30.1636762042269,0.9548313989541337,59,12.22820551662279
Rödingsmarkt,0.14260183968462556,0.600885282522996,0.9478060009963026,31,1.6669793356061322
Saturn,0.0,0.0,1.0,0,0.0
Speicherstadt,2.316028909329829,24.9983533978683,0.9505580121916063,58,11.181077660634434
Überseequartier Nord,1.9179990443196753,20.08675365140474,0.9588671115302505,43,10.022027913717709
